Movie_ID,Title,Year,Genre
34759,Aaghaaz ,2000,Thriller
34760,Aaj Ka Ravan,2000,Drama
34761,Anjaane,2000,Romance
34762,Anokha Moti,2000,Family
34763,Apradhi Kaun,2000,Thriller
34764,Astitva,2000,"Drama, Social"
34765,Baaghi,2000,Action
34766,Badal,2000,"Action, Drama"
34767,Bas Yaari Rakho,2000,"Comedy, Drama"
34768,Bawandar,2000,Drama
34769,Kuch Kuch Hota Hai,2000,Romantic
34770,Kaanksh,2000,"Drama, Comedy"
34771,Beti No.1,2000,Comedy
34772,Bhai Thakur,2000,Action
34773,Bichhoo,2000,Action
34774,Billa No. 786,2000,Action
34775,Bulandi,2000,Drama
34776,Chal Mere Bhai,2000,Comedy
34777,Champion,2000,"Action, Drama"
34778,Dahshat,2000,Horror
34779,Deewane,2000,"Action, Romance"
34780,Dhai Akshar Prem Ke,2000,"Romance, Drama"
34781,Dhadkan,2000,"Romance, Drama"
34782,Dil Ki Dhadkan,2000,
34783,Dil Pe Mat Le Yaar,2000,Drama
34784,Dr. Babasaheb Ambedkar,2000,
34785,Dr Mukta,2000,
34786,Dulhan Hum Le Jayenge,2000,"Comedy, Romance"
34787,Fiza,2000,"Drama, Family, Thriller"
34788,Gaja Gamini,2000,Drama
34789,Gang,2000,Crime
34790,Ghaath,2000,Drama
34791,Hadh Kar Di Aapne,2000,"Comedy, Romance"
34792,Hamara Dil Aapke Paas Hai,2000,Drama
34793,Har Dil Jo Pyar Karega,2000,"Comedy, Drama, Romance"
34794,Hari-Bhari,2000,Drama
34795,Hera Pheri,2000,Comedy
34796,Hey Ram,2000,Drama
34797,Hum To Mohabbat Karega,2000,"Action, Romance"
34798,Jallad No. 1,2000,Drama
34799,Jis Desh Mein Ganga Rehta Hain,2000,Drama
34800,Joru Ka Ghulam,2000,Drama
34801,Josh,2000,"Action, Romance"
34802,Jung,2000,Drama
34803,Jungle,2000,Romance
34804,Kabrastan,2000,Horror
34805,Kahin Pyaar Na Ho Jaaye,2000,"Comedy, Romance"
34806,Kaho Naa... Pyaar Hai,2000,"Romance, Drama, Musical, Thriller"
34807,Kairee,2000,Drama
34808,Karobaar: The Business of Love,2000,Drama
34809,Kharidaar,2000,
34810,Khauff,2000,Drama
34811,Khiladi 420,2000,"Action, Romance"
34812,Krodh,2000,Action
34813,Kunwara,2000,Comedy
34814,Kurukshetra,2000,"Action, Romance"
34815,Kya Kehna,2000,"Romance, Drama"
34816,Le Chal Apne Sang,2000,Romance
34817,Lekroo,2000,
34818,Mela,2000,Drama
34819,Meri Jung Ka Elaan,2000,Drama
34820,Mission Kashmir,2000,"Drama, War, Thriller"
34821,Mohabbatein,2000,"Drama, Romance, Musical, Family"
34822,Nidaan,2000,Drama
34823,Pandavas: The Five Warriors,2000,Animation
34824,Papa the Great,2000,Family
34825,Phir Bhi Dil Hai Hindustani,2000,"Comedy, Drama, Romance, Musical"
34826,The Prince of Light,2000,
34827,Pukar,2000,Drama
34828,Raja Ko Rani Se Pyar Ho Gaya,2000,"Comedy, Musical"
34829,Raju Chacha,2000,Comedy
34830,Refugee,2000,"Drama, Romance"
34831,The Revenge: Geeta Mera Naam,2000,Action
34832,Saanjh,2000,
34833,Second Generation,2000,
34834,Shikaar,2000,
34835,Shikari,2000,"Thriller, Action, Romance"
34836,Snip!,2000,
34837,Sultaan,2000,Action
34838,Tapish,2000,
34839,Tarkieb,2000,"Suspense, Thriller"
34840,Tera Jadoo Chal Gayaa,2000,Romance
34841,Tere Liye,2000,
34842,Tune Mera Dil Le Liyaa,2000,
34843,Zindagi Zindabad,2000,
34844,Abhay,2001,"Thriller
"
34845,Aamdani Atthanni Kharcha Rupaiya,2001,"Family Drama
"
34846,Aashiq,2001,"Action Comedy
"
34847,Ajnabee,2001,"Thriller, Suspense, Crime
"
34848,Aks,2001,"Thriller, Horror
"
34849,Albela,2001,"Romance
"
34850,Aśoka,2001,"History
"
34851,Bas Itna Sa Khwaab Hai,2001,"Drama, Romance, Social
"
34852,Bengal Tiger,2001,"Action
"
34853,Bhairav,2001,"
"
34854,Censor,2001,"Drama
"
34855,Chandni Bar,2001,"Drama
"
34856,Chhupa Rustam: A Musical Thriller,2001,"Thriller
"
34857,Chori Chori Chupke Chupke,2001,"Drama, Romance, Musical, Social
"
34858,Daman,2001,"Drama
"
34859,Dattak,2001,"Drama
"
34860,Deewaanapan,2001,"Drama, Romance
"
34861,Dil Chahta Hai,2001,"Drama, Comedy, Romance, Musical
"
34862,Dil Ne Phir Yaad Kiya,2001,"Romance
"
34863,Ehsaas: The Feeling,2001,"Drama
"
34864,Ek Rishtaa: The Bond of Love,2001,"Family Drama
"
